latitude,longitude,name
40.71455,-74.007124,"new york, new york"
42.358635,-71.056699,"boston, massachusetts"
38.89037,-77.031959,"washington, washington, d.c."
30.267605,-97.742984,"austin, texas"
35.78551,-78.642669,"raleigh, north carolina"
39.74001,-104.992259,"denver, colorado"
47.60356,-122.329439,"seattle, washington"
37.38967,-122.081608,"mountain view, california"
37.777125,-122.419644,"san francisco, california"
37.271875,-119.270229,california
40.71455,-74.007124,new york
39.415745,-77.412034,"frederick, md"
33.748315,-84.391109,"atlanta, ga"
41.88415,-87.632409,"chicago, illinois"
37.355509,-121.954262,"santa clara, california"
39.02784,-77.397179,"dulles, virginia"
37.484175,-122.227102,"redwood city, california"
37.395321,-122.052628,silicon valley
31.168895,-100.077148,texas
39.11338,-94.626824,"kansas city, kansas"
33.748315,-84.391109,"atlanta, georgia"
40.79781,-81.371569,"canton, ohio"
40.71455,-74.007124,"new york city, new york"
40.928155,-100.161744,"gothenburg, nebraska"
40.438335,-79.997459,"pittsburgh, pennsylvania"
42.331685,-83.047924,"detroit, michigan"
39.10296,-94.583062,"kansas city, missouri"
37.878695,-122.370941,"bay area,ca"
37.878695,-122.370941,"bay area"
37.878695,-122.370941,"bay area, california"
39.95228,-75.162454,"philadelphia, pennsylvania"
40.01574,-105.279239,"boulder, colorado"
37.869885,-122.270539,"berkeley, california"
32.78115,-79.931604,"charleston, south carolina"
44.979035,-93.264929,"minneapolis, minnesota"
33.520295,-86.811504,"birmingham, alabama"
33.766725,-118.192399,"long beach, california"
40.1142,-88.243499,"champaign, illinois"
37.400757,-78.541909,greater philadelphia area
37.338475,-121.885794,"san jose, california"
37.777125,-122.419644,"san francisco, ca"
34.05349,-118.245319,"los angeles, california"
37.54703,-122.314834,"san mateo, california"
37.44466,-122.160794,"palo alto, california"
33.686887,-117.825348,"irvine, california"
33.667101,-117.765049,"orange county, ca"
32.715695,-117.161719,"san diego, california"
39.415745,-77.412034,"frederick, maryland"
30.33147,-81.656219,"jacksonville, florida"
